location_id,population_served,sample_date,baseline_rate
California,100000,2023-02-25,0.4
California,100000,2023-02-25,7.1
California,100000,2023-02-25,0.3
California,100000,2023-02-25,7.8
California,100000,2023-03-04,0.3
California,100000,2023-03-04,7.1
California,100000,2023-03-04,0.1
California,100000,2023-03-04,7.499999999999999
California,100000,2023-03-11,0.3
California,100000,2023-03-11,7.0
California,100000,2023-03-11,0.1
California,100000,2023-03-11,7.4
California,100000,2023-03-18,0.5
California,100000,2023-03-18,4.8
California,100000,2023-03-18,0.1
California,100000,2023-03-18,5.3999999999999995
California,100000,2023-03-25,0.3
California,100000,2023-03-25,5.1
California,100000,2023-03-25,0.0
California,100000,2023-03-25,5.3999999999999995
California,100000,2023-04-01,0.2
California,100000,2023-04-01,4.3
California,100000,2023-04-01,0.1
California,100000,2023-04-01,4.6
California,100000,2023-04-08,0.1
California,100000,2023-04-08,4.7
California,100000,2023-04-08,0.2
California,100000,2023-04-08,5.0
California,100000,2023-04-15,0.1
California,100000,2023-04-15,4.9
California,100000,2023-04-15,0.0
California,100000,2023-04-15,5.0
California,100000,2023-04-22,0.0
California,100000,2023-04-22,4.7
California,100000,2023-04-22,0.1
California,100000,2023-04-22,4.8
California,100000,2023-04-29,0.0
California,100000,2023-04-29,4.5
California,100000,2023-04-29,0.0
California,100000,2023-04-29,4.5
California,100000,2023-05-06,0.1
California,100000,2023-05-06,3.1
California,100000,2023-05-06,0.0
California,100000,2023-05-06,3.2
California,100000,2023-05-13,0.0
California,100000,2023-05-13,4.0
California,100000,2023-05-13,4.0
California,100000,2023-05-20,0.1
California,100000,2023-05-20,4.0
California,100000,2023-05-20,4.1
California,100000,2023-05-27,0.1
California,100000,2023-05-27,3.8
California,100000,2023-05-27,3.9
California,100000,2023-06-03,0.1
California,100000,2023-06-03,3.2
California,100000,2023-06-03,3.3000000000000003
California,100000,2023-06-10,0.1
California,100000,2023-06-10,3.0
California,100000,2023-06-10,3.1
California,100000,2023-06-17,0.0
California,100000,2023-06-17,3.4
California,100000,2023-06-17,3.4
California,100000,2023-06-24,0.0
California,100000,2023-06-24,3.4
California,100000,2023-06-24,3.4
California,100000,2023-07-01,0.1
California,100000,2023-07-01,3.1
California,100000,2023-07-01,3.2
California,100000,2023-07-08,0.1
California,100000,2023-07-08,3.2
California,100000,2023-07-08,3.3000000000000003
California,100000,2023-07-15,0.0
California,100000,2023-07-15,4.0
California,100000,2023-07-15,4.0
California,100000,2023-07-22,0.1
California,100000,2023-07-22,3.8
California,100000,2023-07-22,3.9
California,100000,2023-07-29,0.1
California,100000,2023-07-29,5.0
California,100000,2023-07-29,5.1
California,100000,2023-08-05,0.1
California,100000,2023-08-05,5.3
California,100000,2023-08-05,5.3999999999999995
California,100000,2023-08-12,0.1
California,100000,2023-08-12,5.5
California,100000,2023-08-12,5.6
California,100000,2023-08-19,0.0
California,100000,2023-08-19,5.4
California,100000,2023-08-19,5.4
California,100000,2023-08-26,0.1
California,100000,2023-08-26,6.1
California,100000,2023-08-26,6.199999999999999
California,100000,2023-09-02,0.0
California,100000,2023-09-02,6.2
California,100000,2023-09-02,6.2
California,100000,2023-09-09,0.2
California,100000,2023-09-09,6.1
California,100000,2023-09-09,6.3
California,100000,2023-09-16,0.3
California,100000,2023-09-16,6.6
California,100000,2023-09-16,6.8999999999999995
California,100000,2023-09-23,0.2
California,100000,2023-09-23,5.4
California,100000,2023-09-23,5.6000000000000005
California,100000,2023-09-30,0.3
California,100000,2023-09-30,5.1
California,100000,2023-09-30,5.3999999999999995
California,100000,2023-10-07,0.5
California,100000,2023-10-07,4.6
California,100000,2023-10-07,0.3
California,100000,2023-10-07,5.3999999999999995
California,100000,2023-10-14,0.8
California,100000,2023-10-14,3.8
California,100000,2023-10-14,0.2
California,100000,2023-10-14,4.8
California,100000,2023-10-21,1.0
California,100000,2023-10-21,3.6
California,100000,2023-10-21,0.1
California,100000,2023-10-21,4.7
California,100000,2023-10-28,0.7
California,100000,2023-10-28,3.4
California,100000,2023-10-28,0.1
California,100000,2023-10-28,4.2
California,100000,2023-11-04,1.4
California,100000,2023-11-04,4.6
California,100000,2023-11-04,0.3
California,100000,2023-11-04,6.299999999999999
California,100000,2023-11-11,1.9
California,100000,2023-11-11,4.7
California,100000,2023-11-11,0.8
California,100000,2023-11-11,7.4
California,100000,2023-11-18,2.6
California,100000,2023-11-18,4.4
California,100000,2023-11-18,1.0
California,100000,2023-11-18,8.0
California,100000,2023-11-25,2.4
California,100000,2023-11-25,4.5
California,100000,2023-11-25,1.3
California,100000,2023-11-25,8.2
California,100000,2023-12-02,2.4
California,100000,2023-12-02,6.9
California,100000,2023-12-02,2.4
California,100000,2023-12-02,11.7
California,100000,2023-12-09,3.1
California,100000,2023-12-09,7.3
California,100000,2023-12-09,2.6
California,100000,2023-12-09,13.0
California,100000,2023-12-16,2.7
California,100000,2023-12-16,6.5
California,100000,2023-12-16,2.9
California,100000,2023-12-16,12.1
